Date,SPY,FXE,EWJ,GLD,QQQ,SHV,DBA,USO,XBI,ILF,GAF,EPP,FEZ,Mkt-RF,SMB,HML,RF
2007-07-30,117.909203,130.175034,50.073109,65.769997,43.91523,102.91816700000001,24.991589,57.5,15.792785,33.408314000000004,48.328144,31.358890999999996,40.152412,0.93,-0.24,-0.08,0.019
2007-07-31,116.581131,130.07074,49.831375,65.790001,42.992607,102.955772,25.359253,58.529999,15.609720999999999,33.227242,47.639561,31.149813,39.980782,-1.19,0.32,-0.02,0.019
2007-08-01,117.14913200000001,129.93864399999998,49.451504,65.93,43.327282000000004,102.991592,25.068993,57.759997999999996,15.504232,32.933197,47.025814,30.718832,40.200478000000004,0.51,-0.5,-0.25,0.018000000000000002
2007-08-02,118.085197,130.261795,49.209773999999996,65.889999,43.725269,103.029312,25.301201000000002,57.700001,15.932407999999999,33.351051,47.901516,30.930061,40.351486,0.55,0.15,-0.36,0.018000000000000002
2007-08-03,115.04505900000001,131.088791,48.519112,66.690002,42.893112,103.05761700000001,25.185097,56.439999,15.826914000000002,31.814271999999995,46.756378,29.933690999999996,39.802310999999996,-2.66,-0.63,-0.73,0.018000000000000002
2007-08-06,116.97316000000001,131.060257,49.244316,66.519997,43.390602,103.04821,25.243149,54.200001,16.183722,32.229046000000004,47.272812,30.552415999999997,40.372101,2.07,-1.17,-0.41,0.018000000000000002
2007-08-07,118.221176,130.737061,49.140701,66.480003,43.698135,103.05761700000001,25.397955,54.360001000000004,16.590176,32.677841,47.789249,30.584421000000003,40.777119,0.65,0.27,-0.67,0.018000000000000002
2007-08-08,119.86927,131.25036599999999,49.555107,66.769997,44.177559,103.076477,25.659191,54.27,16.978016,33.583195,48.867043,31.450645,41.202736,1.47,1.16,-0.73,0.018000000000000002
2007-08-09,116.317116,130.138184,48.760841,65.459999,43.155426,103.14250200000001,25.446331,53.779999,16.838392000000002,32.174865999999994,46.965946,30.353996000000002,40.028843,-2.74,1.65,-0.61,0.018000000000000002
2007-08-10,115.77307900000001,130.271301,48.070178999999996,66.57,42.766479,103.16143000000001,25.523735000000002,53.639998999999996,16.391607,31.535696,47.400051,30.061708000000003,39.582634000000006,0.03,0.05,1.35,0.018000000000000002
2007-08-13,116.189072,129.510895,48.139244,66.260002,43.055923,103.180283,25.572113,53.849998,16.382299,31.478436,47.115639,30.360397,39.424732,-0.06,-1.15,0.32,0.018000000000000002
